日付,時刻,気温(℃),風向(度:0～359),風速(m/s),降水量(mm),積雪深(cm),前１時間降雪量(cm)
2017-01-01,00:10,×,×,×,×,×,×
2017-01-01,00:20,×,×,×,×,×,×
2017-01-01,00:30,×,×,×,×,×,×
2017-01-01,00:40,×,×,×,×,×,×
2017-01-01,00:50,×,×,×,×,×,×
2017-01-01,01:00,×,×,×,×,×,×
2017-01-01,01:10,×,×,×,×,×,×
2017-01-01,01:20,×,×,×,×,×,×
2017-01-01,01:30,×,×,×,×,×,×
2017-01-01,01:40,×,×,×,×,×,×
2017-01-01,01:50,×,×,×,×,×,×
2017-01-01,02:00,×,×,×,×,×,×
2017-01-01,02:10,×,×,×,×,×,×
2017-01-01,02:20,×,×,×,×,×,×
2017-01-01,02:30,×,×,×,×,×,×
2017-01-01,02:40,×,×,×,×,×,×
2017-01-01,02:50,×,×,×,×,×,×
2017-01-01,03:00,×,×,×,×,×,×
2017-01-01,03:10,×,×,×,×,×,×
2017-01-01,03:20,×,×,×,×,×,×
2017-01-01,03:30,×,×,×,×,×,×
2017-01-01,03:40,×,×,×,×,×,×
2017-01-01,03:50,×,×,×,×,×,×
2017-01-01,04:00,×,×,×,×,×,×
2017-01-01,04:10,×,×,×,×,×,×
2017-01-01,04:20,×,×,×,×,×,×
2017-01-01,04:30,×,×,×,×,×,×
2017-01-01,04:40,×,×,×,×,×,×
2017-01-01,04:50,×,×,×,×,×,×
2017-01-01,05:00,×,×,×,×,×,×
2017-01-01,05:10,×,×,×,×,×,×
2017-01-01,05:20,×,×,×,×,×,×
2017-01-01,05:30,×,×,×,×,×,×
2017-01-01,05:40,×,×,×,×,×,×
2017-01-01,05:50,×,×,×,×,×,×
2017-01-01,06:00,×,×,×,×,×,×
2017-01-01,06:10,×,×,×,×,×,×
2017-01-01,06:20,×,×,×,×,×,×
2017-01-01,06:30,×,×,×,×,×,×
2017-01-01,06:40,×,×,×,×,×,×
2017-01-01,06:50,×,×,×,×,×,×
2017-01-01,07:00,×,×,×,×,×,×
2017-01-01,07:10,×,×,×,×,×,×
2017-01-01,07:20,×,×,×,×,×,×
2017-01-01,07:30,×,×,×,×,×,×
2017-01-01,07:40,×,×,×,×,×,×
2017-01-01,07:50,×,×,×,×,×,×
2017-01-01,08:00,×,×,×,×,×,×
2017-01-01,08:10,×,×,×,×,×,×
2017-01-01,08:20,×,×,×,×,×,×
2017-01-01,08:30,×,×,×,×,×,×
2017-01-01,08:40,×,×,×,×,×,×
2017-01-01,08:50,×,×,×,×,×,×
2017-01-01,09:00,×,×,×,×,×,×
2017-01-01,09:10,×,×,×,×,×,×
2017-01-01,09:20,×,×,×,×,×,×
2017-01-01,09:30,×,×,×,×,×,×
2017-01-01,09:40,×,×,×,×,×,×
2017-01-01,09:50,×,×,×,×,×,×
2017-01-01,10:00,×,×,×,×,×,×
2017-01-01,10:10,×,×,×,×,×,×
2017-01-01,10:20,×,×,×,×,×,×
2017-01-01,10:30,×,×,×,×,×,×
2017-01-01,10:40,×,×,×,×,×,×
2017-01-01,10:50,×,×,×,×,×,×
2017-01-01,11:00,×,×,×,×,×,×
2017-01-01,11:10,×,×,×,×,×,×
2017-01-01,11:20,×,×,×,×,×,×
2017-01-01,11:30,×,×,×,×,×,×
2017-01-01,11:40,×,×,×,×,×,×
2017-01-01,11:50,×,×,×,×,×,×
2017-01-01,12:00,×,×,×,×,×,×
2017-01-01,12:10,×,×,×,×,×,×
2017-01-01,12:20,×,×,×,×,×,×
2017-01-01,12:30,×,×,×,×,×,×
2017-01-01,12:40,×,×,×,×,×,×
2017-01-01,12:50,×,×,×,×,×,×
2017-01-01,13:00,×,×,×,×,×,×
2017-01-01,13:10,×,×,×,×,×,×
2017-01-01,13:20,×,×,×,×,×,×
2017-01-01,13:30,×,×,×,×,×,×
2017-01-01,13:40,×,×,×,×,×,×
2017-01-01,13:50,×,×,×,×,×,×
2017-01-01,14:00,×,×,×,×,×,×
2017-01-01,14:10,×,×,×,×,×,×
2017-01-01,14:20,×,×,×,×,×,×
2017-01-01,14:30,×,×,×,×,×,×
2017-01-01,14:40,×,×,×,×,×,×
2017-01-01,14:50,×,×,×,×,×,×
2017-01-01,15:00,×,×,×,×,×,×
2017-01-01,15:10,×,×,×,×,×,×
2017-01-01,15:20,×,×,×,×,×,×
2017-01-01,15:30,×,×,×,×,×,×
2017-01-01,15:40,×,×,×,×,×,×
2017-01-01,15:50,×,×,×,×,×,×
2017-01-01,16:00,×,×,×,×,×,×
2017-01-01,16:10,×,×,×,×,×,×
2017-01-01,16:20,×,×,×,×,×,×
2017-01-01,16:30,×,×,×,×,×,×
2017-01-01,16:40,×,×,×,×,×,×
2017-01-01,16:50,×,×,×,×,×,×
2017-01-01,17:00,×,×,×,×,×,×
2017-01-01,17:10,×,×,×,×,×,×
2017-01-01,17:20,×,×,×,×,×,×
2017-01-01,17:30,×,×,×,×,×,×
2017-01-01,17:40,×,×,×,×,×,×
2017-01-01,17:50,×,×,×,×,×,×
2017-01-01,18:00,×,×,×,×,×,×
2017-01-01,18:10,×,×,×,×,×,×
2017-01-01,18:20,×,×,×,×,×,×
2017-01-01,18:30,×,×,×,×,×,×
2017-01-01,18:40,×,×,×,×,×,×
2017-01-01,18:50,×,×,×,×,×,×
2017-01-01,19:00,×,×,×,×,×,×
2017-01-01,19:10,×,×,×,×,×,×
2017-01-01,19:20,×,×,×,×,×,×
2017-01-01,19:30,×,×,×,×,×,×
2017-01-01,19:40,×,×,×,×,×,×
2017-01-01,19:50,×,×,×,×,×,×
2017-01-01,20:00,×,×,×,×,×,×
2017-01-01,20:10,×,×,×,×,×,×
2017-01-01,20:20,×,×,×,×,×,×
2017-01-01,20:30,×,×,×,×,×,×
2017-01-01,20:40,×,×,×,×,×,×
2017-01-01,20:50,×,×,×,×,×,×
2017-01-01,21:00,×,×,×,×,×,×
2017-01-01,21:10,×,×,×,×,×,×
2017-01-01,21:20,×,×,×,×,×,×
2017-01-01,21:30,×,×,×,×,×,×
2017-01-01,21:40,×,×,×,×,×,×
2017-01-01,21:50,×,×,×,×,×,×
2017-01-01,22:00,×,×,×,×,×,×
2017-01-01,22:10,×,×,×,×,×,×
2017-01-01,22:20,×,×,×,×,×,×
2017-01-01,22:30,×,×,×,×,×,×
2017-01-01,22:40,×,×,×,×,×,×
2017-01-01,22:50,×,×,×,×,×,×
2017-01-01,23:00,×,×,×,×,×,×
2017-01-01,23:10,×,×,×,×,×,×
2017-01-01,23:20,×,×,×,×,×,×
2017-01-01,23:30,×,×,×,×,×,×
2017-01-01,23:40,×,×,×,×,×,×
2017-01-01,23:50,×,×,×,×,×,×
2017-01-02,00:00,×,×,×,×,×,×
2017-01-02,00:10,×,×,×,×,×,×
2017-01-02,00:20,×,×,×,×,×,×
2017-01-02,00:30,×,×,×,×,×,×
2017-01-02,00:40,×,×,×,×,×,×
2017-01-02,00:50,×,×,×,×,×,×
2017-01-02,01:00,×,×,×,×,×,×
2017-01-02,01:10,×,×,×,×,×,×
