日付,時刻,気温(℃),風向(度:0～359),風速(m/s),降水量(mm),積雪深(cm),前１時間降雪量(cm)
2017-01-01,00:10,-3.3,222,1.7,0.0,62,×
2017-01-01,00:20,-3.2,223,1.7,0.0,62,×
2017-01-01,00:30,-3.2,233,0.8,0.0,62,×
2017-01-01,00:40,-3.6,223,1.2,0.0,62,×
2017-01-01,00:50,-3.7,233,1.1,0.0,62,×
2017-01-01,01:00,-3.8,227,2.3,0.0,62,0
2017-01-01,01:10,-4.0,230,1.7,0.0,62,×
2017-01-01,01:20,-4.2,228,1.2,0.0,62,×
2017-01-01,01:30,-4.5,217,1.4,0.0,62,×
2017-01-01,01:40,-4.7,211,1.2,0.0,62,×
2017-01-01,01:50,-5.2,206,0.8,0.0,62,×
2017-01-01,02:00,-5.3,178,0.9,0.0,62,0
2017-01-01,02:10,-5.7,216,0.9,0.0,62,×
2017-01-01,02:20,-5.7,177,1.0,0.0,62,×
2017-01-01,02:30,-5.9,187,0.7,0.0,62,×
2017-01-01,02:40,-5.8,206,0.7,0.0,62,×
2017-01-01,02:50,-5.7,195,0.8,0.0,62,×
2017-01-01,03:00,-5.7,166,0.8,0.0,62,0
2017-01-01,03:10,-5.5,180,1.0,0.0,62,×
2017-01-01,03:20,-5.5,173,1.0,0.0,62,×
2017-01-01,03:30,-5.5,182,1.0,0.0,62,×
2017-01-01,03:40,-5.6,189,1.2,0.0,62,×
2017-01-01,03:50,-5.5,221,0.3,0.0,62,×
2017-01-01,04:00,-5.5,189,0.9,0.0,62,0
2017-01-01,04:10,-5.7,218,0.7,0.0,62,×
2017-01-01,04:20,-5.7,205,0.9,0.0,62,×
2017-01-01,04:30,-5.6,205,0.9,0.0,62,×
2017-01-01,04:40,-5.5,194,1.0,0.0,62,×
2017-01-01,04:50,-5.5,199,1.0,0.0,62,×
2017-01-01,05:00,-5.3,190,1.2,0.0,62,0
2017-01-01,05:10,-5.4,195,1.0,0.0,62,×
2017-01-01,05:20,-5.4,194,1.0,0.0,62,×
2017-01-01,05:30,-5.4,221,0.9,0.0,62,×
2017-01-01,05:40,-5.2,226,0.9,0.0,62,×
2017-01-01,05:50,-4.8,178,0.8,0.0,62,×
2017-01-01,06:00,-4.7,192,0.8,0.0,62,0
2017-01-01,06:10,-4.5,199,0.7,0.0,62,×
