日付	時刻	気温(℃)	風向(度:0～359)	風速(m/s)	降水量(mm)	積雪深(cm)	前１時間降雪量(cm)
2019-1-1	0:10	-7	26	0.3	0	30	×
2019-1-1	0:20	-6.1	71	0.7	0	30	×
2019-1-1	0:30	-6.3	284	0.2	0	30	×
2019-1-1	0:40	-6.6	158	0.4	0	30	×
2019-1-1	0:50	-6.3	65	0.2	0	30	×
2019-1-1	1:00	-6.5	231	0.1	0	30	0
2019-1-1	1:10	-5.3	62	0.5	0	30	×
2019-1-1	1:20	-4.5	166	0.8	0	30	×
2019-1-1	1:30	-5.5	77	0.4	0	30	×
2019-1-1	1:40	-5.9	25	0.8	0	30	×
2019-1-1	1:50	-4.4	155	0.6	0	30	×
2019-1-1	2:00	-5.9	187	0.5	0	30	0
2019-1-1	2:10	-5.5	208	0.6	0	30	×
2019-1-1	2:20	-5.8	109	0.4	0	30	×
2019-1-1	2:30	-6	193	0.1	0	30	×
2019-1-1	2:40	-5.9	8	0.2	0	30	×
2019-1-1	2:50	-6.6	93	0.6	0	30	×
2019-1-1	3:00	-5.9	161	0.3	0	30	0
2019-1-1	3:10	-6.9	185	0.3	0	30	×
2019-1-1	3:20	-6.8	344	0.3	0	30	×
2019-1-1	3:30	-5.8	0	0	0	30	×
2019-1-1	3:40	-5.5	76	0.3	0	30	×
2019-1-1	3:50	-6	301	0.1	0	30	×
2019-1-1	4:00	-5.9	297	0.1	0	30	0
2019-1-1	4:10	-5.2	62	0.3	0	30	×
2019-1-1	4:20	-6.5	267	0.1	0	30	×
2019-1-1	4:30	-5.9	128	0.2	0	30	×
2019-1-1	4:40	-6.2	41	0.5	0	30	×
2019-1-1	4:50	-6.2	73	0.5	0	30	×
2019-1-1	5:00	-5.4	337	0.1	0	30	0
2019-1-1	5:10	-5.7	123	0.3	0	30	×
2019-1-1	5:20	-5.6	176	0.2	0	30	×
2019-1-1	5:30	-5.6	205	0.4	0	30	×
2019-1-1	5:40	-5.4	89	0.5	0	31	×
2019-1-1	5:50	-5.1	60	0.3	0	31	×
2019-1-1	6:00	-5	116	0.4	0	30	0
2019-1-1	6:10	-4.6	15	0.3	0	30	×
2019-1-1	6:20	-4.9	212	0.4	0	30	×
2019-1-1	6:30	-4.9	68	1.1	0	30	×
2019-1-1	6:40	-4.6	54	0.6	0	30	×
2019-1-1	6:50	-4.4	193	0.7	0	31	×
2019-1-1	7:00	-4.3	169	0.5	0	31	1
2019-1-1	7:10	-4.4	177	0.9	0	31	×
2019-1-1	7:20	-4.6	97	0.2	0	31	×
2019-1-1	7:30	-4.8	39	0.8	0	31	×
2019-1-1	7:40	-4.4	153	0.1	0	31	×
2019-1-1	7:50	-4.8	130	0.1	0	31	×
2019-1-1	8:00	-4.5	68	0.3	0	31	0
2019-1-1	8:10	-4.8	149	0.1	0	31	×
2019-1-1	8:20	-4.3	193	0.3	0	31	×
2019-1-1	8:30	-3.3	222	0.1	0	31	×
2019-1-1	8:40	-2.9	221	0.8	0	31	×
2019-1-1	8:50	-2.2	270	1.2	0	31	×
2019-1-1	9:00	-2.2	289	1.4	0	31	0
2019-1-1	9:10	-2.1	310	1.4	0	31	×
2019-1-1	9:20	-2.1	309	1.7	0	31	×
2019-1-1	9:30	-1.8	300	1.7	0	31	×
2019-1-1	9:40	-1.6	310	1.5	0	31	×
2019-1-1	9:50	-1.4	317	1.7	0	31	×
2019-1-1	10:00	-1.3	329	2.6	0	31	0
2019-1-1	10:10	-1.1	320	2.6	0	31	×
2019-1-1	10:20	-1.1	315	2.4	0	31	×
2019-1-1	10:30	-0.9	308	2.8	0	31	×
2019-1-1	10:40	-0.8	308	2.2	0	31	×
2019-1-1	10:50	-0.8	303	3	0	31	×
2019-1-1	11:00	-0.7	310	3.1	0	31	0
2019-1-1	11:10	-0.6	304	2.4	0	31	×
2019-1-1	11:20	-0.6	299	2.8	0	31	×
2019-1-1	11:30	-0.9	309	3.3	0	31	×
2019-1-1	11:40	-0.9	289	3	0	31	×
2019-1-1	11:50	-1.1	312	3.1	0	31	×
2019-1-1	12:00	-1	301	2.7	0	31	0
2019-1-1	12:10	-1.1	316	2.2	0	31	×
2019-1-1	12:20	-1	332	2.2	0	31	×
2019-1-1	12:30	-1.1	339	2.8	0	31	×
2019-1-1	12:40	-1.1	324	2.6	0	31	×
2019-1-1	12:50	-1.2	327	3	0	31	×
2019-1-1	13:00	-1.1	323	2.6	0	31	0
2019-1-1	13:10	-1	314	2.3	0	30	×
2019-1-1	13:20	-1	304	2.3	0	30	×
2019-1-1	13:30	-1.2	317	2.9	0	30	×
2019-1-1	13:40	-1.2	299	1.6	0	30	×
2019-1-1	13:50	-1.3	327	1.8	0	30	×
2019-1-1	14:00	-1.3	338	1.6	0	30	0
2019-1-1	14:10	-1.1	333	2	0	30	×
2019-1-1	14:20	-1.1	327	2.1	0	30	×
2019-1-1	14:30	-1.3	328	3.1	0	30	×
2019-1-1	14:40	-1.7	330	2.7	0	30	×
2019-1-1	14:50	-1.8	329	1.9	0	30	×
2019-1-1	15:00	-1.8	318	1.9	0	30	0
2019-1-1	15:10	-1.7	299	1.2	0	30	×
2019-1-1	15:20	-1.7	340	1.3	0	30	×
2019-1-1	15:30	-1.8	339	1.8	0	30	×
2019-1-1	15:40	-2.1	330	1.7	0	30	×
2019-1-1	15:50	-2.1	337	1.5	0	30	×
2019-1-1	16:00	-2.1	320	1.5	0	30	0
2019-1-1	16:10	-2.2	320	1.5	0	30	×
2019-1-1	16:20	-2.2	335	0.6	0	30	×
2019-1-1	16:30	-2.3	66	0.4	0	30	×
2019-1-1	16:40	-2.3	340	0.7	0	30	×
2019-1-1	16:50	-2.3	99	0.1	0	30	×
2019-1-1	17:00	-2.3	70	0.8	0	30	0
2019-1-1	17:10	-2.3	47	0.8	0	29	×
2019-1-1	17:20	-2.3	46	0.7	0	29	×
2019-1-1	17:30	-2.1	54	0.9	0	29	×
2019-1-1	17:40	-2.3	80	0.2	0	29	×
2019-1-1	17:50	-2.2	24	0.5	0	29	×
2019-1-1	18:00	-2.2	126	0.3	0	29	0
2019-1-1	18:10	-2.6	155	0.4	0	29	×
2019-1-1	18:20	-2.3	148	0.4	0	29	×
2019-1-1	18:30	-2.7	137	0.2	0	29	×
2019-1-1	18:40	-2.6	244	0.2	0	29	×
2019-1-1	18:50	-2.3	296	0.4	0	29	×
2019-1-1	19:00	-2.3	317	1.1	0	29	0
2019-1-1	19:10	-2.1	308	1.3	0	29	×
2019-1-1	19:20	-1.9	313	2.5	0	29	×
2019-1-1	19:30	-2	302	2	0	29	×
2019-1-1	19:40	-1.9	295	1.9	0	29	×
2019-1-1	19:50	-1.9	295	2.1	0	29	×
2019-1-1	20:00	-2.1	311	1.7	0	29	0
2019-1-1	20:10	-2	321	1.4	0	29	×
2019-1-1	20:20	-1.9	313	1.8	0	29	×
2019-1-1	20:30	-1.9	296	1.9	0	29	×
2019-1-1	20:40	-2	285	2.1	0	29	×
2019-1-1	20:50	-1.9	303	2	0	29	×
2019-1-1	21:00	-1.9	306	2.3	0	29	0
2019-1-1	21:10	-2	297	2.7	0	29	×
2019-1-1	21:20	-2.1	295	2.2	0	29	×
2019-1-1	21:30	-2.1	290	1.6	0	29	×
2019-1-1	21:40	-2	270	2.6	0	29	×
2019-1-1	21:50	-1.8	265	2.8	0	29	×
2019-1-1	22:00	-1.9	245	2.6	0	29	0
2019-1-1	22:10	-2.1	249	2.5	0	29	×
2019-1-1	22:20	-1.9	258	2.6	0	29	×
2019-1-1	22:30	-2.1	244	1.8	0	29	×
2019-1-1	22:40	-2.6	193	1	0	29	×
2019-1-1	22:50	-3	76	0.4	0	29	×
2019-1-1	23:00	-3.2	57	0.4	0	28	0
2019-1-1	23:10	-3.4	53	0.5	0	28	×
2019-1-1	23:20	-3.7	33	0.2	0	28	×
2019-1-1	23:30	-3.3	355	0.5	0	28	×
2019-1-1	23:40	-3.3	274	0.3	0	28	×
2019-1-1	23:50	-5	172	0.3	0	28	×
2019-1-2	0:00	-5.1	105	0.3	0	28	0
2019-1-2	0:10	-4.8	120	0.5	0	28	×
2019-1-2	0:20	-4.8	67	1.1	0	28	×
2019-1-2	0:30	-5.3	134	0.4	0	28	×
2019-1-2	0:40	-5.7	133	0.4	0	28	×
2019-1-2	0:50	-6.4	281	0.1	0	28	×
2019-1-2	1:00	-6.4	247	0.2	0	28	0
2019-1-2	1:10	-7.2	89	0.2	0	28	×
