日付,時刻,気温(℃),風向(度:0～359),風速(m/s),降水量(mm),積雪深(cm),前１時間降雪量(cm)
2019-01-01,00:10,-2.1,350,1.3,0.0,48,×
2019-01-01,00:20,-2.0,317,1.1,0.0,48,×
2019-01-01,00:30,-2.2,333,0.9,0.0,48,×
2019-01-01,00:40,-2.1,302,0.7,0.0,48,×
2019-01-01,00:50,-2.3,199,0.5,0.0,48,×
2019-01-01,01:00,-3.3,123,0.5,0.0,48,0
2019-01-01,01:10,-3.5,112,0.6,0.0,48,×
2019-01-01,01:20,-3.3,121,0.5,0.0,48,×
2019-01-01,01:30,-3.1,155,0.7,0.0,48,×
2019-01-01,01:40,-3.2,138,0.7,0.0,48,×
2019-01-01,01:50,-3.2,136,0.6,0.0,48,×
2019-01-01,02:00,-3.3,143,0.4,0.0,48,0
2019-01-01,02:10,-3.0,126,0.8,0.0,48,×
2019-01-01,02:20,-3.0,181,0.9,0.0,48,×
2019-01-01,02:30,-2.9,194,0.6,0.0,48,×
2019-01-01,02:40,-2.9,178,0.7,0.0,48,×
2019-01-01,02:50,-2.6,175,1.0,0.0,48,×
2019-01-01,03:00,-2.3,173,1.2,0.0,48,0
2019-01-01,03:10,-2.4,170,1.4,0.0,48,×
2019-01-01,03:20,-2.4,146,1.2,0.0,48,×
2019-01-01,03:30,-2.3,140,1.0,0.0,48,×
2019-01-01,03:40,-2.1,159,0.8,0.0,48,×
2019-01-01,03:50,-2.2,274,0.5,0.0,48,×
2019-01-01,04:00,-2.6,157,0.7,0.0,48,0
2019-01-01,04:10,-2.6,167,0.9,0.0,48,×
2019-01-01,04:20,-2.6,176,1.0,0.0,48,×
2019-01-01,04:30,-2.5,190,0.6,0.0,48,×
2019-01-01,04:40,-2.6,226,0.3,0.0,48,×
2019-01-01,04:50,-2.7,166,1.2,0.0,48,×
2019-01-01,05:00,-2.7,294,0.6,0.0,48,0
2019-01-01,05:10,-2.8,179,0.6,0.0,48,×
2019-01-01,05:20,-2.8,173,0.7,0.0,47,×
2019-01-01,05:30,-2.8,219,0.4,0.0,47,×
2019-01-01,05:40,-2.8,209,0.3,0.0,47,×
2019-01-01,05:50,-2.7,216,0.5,0.0,47,×
2019-01-01,06:00,-2.8,204,0.4,0.0,47,0
2019-01-01,06:10,-2.8,179,0.5,0.0,47,×
2019-01-01,06:20,-2.9,195,0.6,0.0,47,×
2019-01-01,06:30,-2.8,185,1.5,0.0,47,×
2019-01-01,06:40,-2.6,211,0.2,0.0,47,×
2019-01-01,06:50,-2.5,196,0.5,0.0,47,×
2019-01-01,07:00,-2.8,124,0.4,0.0,47,0
2019-01-01,07:10,-3.7,76,0.7,0.0,47,×
2019-01-01,07:20,-3.6,337,0.2,0.0,47,×
2019-01-01,07:30,-3.5,350,0.9,0.0,47,×
2019-01-01,07:40,-3.3,325,0.6,0.0,47,×
2019-01-01,07:50,-2.5,299,1.5,0.0,47,×
2019-01-01,08:00,-2.3,283,2.2,0.0,47,0
2019-01-01,08:10,-2.3,276,2.0,0.0,47,×
2019-01-01,08:20,-2.3,279,1.8,0.0,47,×
2019-01-01,08:30,-2.1,283,2.2,0.0,47,×
2019-01-01,08:40,-1.9,293,1.7,0.0,47,×
2019-01-01,08:50,-1.8,285,1.5,0.0,47,×
2019-01-01,09:00,-1.4,289,2.8,0.0,47,0
2019-01-01,09:10,-1.2,286,2.6,0.0,47,×
2019-01-01,09:20,-1.3,293,2.6,0.0,47,×
2019-01-01,09:30,-1.3,294,2.9,0.0,47,×
2019-01-01,09:40,-1.2,287,3.3,0.0,47,×
2019-01-01,09:50,-1.0,287,3.2,0.0,47,×
2019-01-01,10:00,-0.8,283,3.2,0.0,47,0
2019-01-01,10:10,-0.8,287,3.4,0.0,47,×
2019-01-01,10:20,-1.2,289,3.5,0.0,47,×
2019-01-01,10:30,-1.0,285,3.6,0.0,47,×
2019-01-01,10:40,-1.1,295,3.2,0.0,47,×
2019-01-01,10:50,-1.1,291,3.1,0.0,47,×
2019-01-01,11:00,-1.0,294,3.0,0.0,47,0
2019-01-01,11:10,-0.9,294,3.1,0.0,47,×
2019-01-01,11:20,-0.9,294,3.5,0.0,47,×
2019-01-01,11:30,-0.7,297,3.1,0.0,47,×
2019-01-01,11:40,-1.2,306,2.9,0.0,47,×
2019-01-01,11:50,-1.3,305,3.1,0.0,47,×
2019-01-01,12:00,-1.3,306,2.7,0.0,47,0
2019-01-01,12:10,-1.1,311,3.1,0.0,47,×
2019-01-01,12:20,-1.1,310,3.0,0.0,47,×
2019-01-01,12:30,-1.1,311,3.6,0.0,47,×
2019-01-01,12:40,-0.8,309,2.8,0.0,47,×
