ì˙ït,éûçè,ãCâ∑(Åé),ïóå¸(ìx:0Å`359),ïóë¨(m/s),ç~êÖó (mm),êœê·ê[(cm),ëOÇPéûä‘ç~ê·ó (cm)
2019-1-1,0:10,-4.4,346,0.1,0,25,Å~
2019-1-1,0:20,-4.1,259,0.3,0,25,Å~
2019-1-1,0:30,-4.1,274,0.2,0,25,Å~
2019-1-1,0:40,-4,292,0.1,0,25,Å~
2019-1-1,0:50,-4.3,20,0.5,0,25,Å~
2019-1-1,1:00,-4.6,32,0.6,0,25,0
2019-1-1,1:10,-5.1,355,0.1,0,25,Å~
2019-1-1,1:20,-4.9,13,0.1,0,25,Å~
2019-1-1,1:30,-5.2,352,0.2,0,25,Å~
2019-1-1,1:40,-5,337,0.2,0,25,Å~
2019-1-1,1:50,-4.7,13,0.2,0,25,Å~
2019-1-1,2:00,-4.8,343,0.2,0,25,0
2019-1-1,2:10,-5.1,321,0.2,0,25,Å~
2019-1-1,2:20,-4.8,5,0.2,0,25,Å~
2019-1-1,2:30,-5.5,352,0.2,0,25,Å~
2019-1-1,2:40,-5.6,329,0.1,0,25,Å~
2019-1-1,2:50,-5.8,3,0.2,0,25,Å~
2019-1-1,3:00,-5,343,0.2,0,25,0
2019-1-1,3:10,-5.1,257,0.4,0,25,Å~
2019-1-1,3:20,-5,270,0.2,0,25,Å~
2019-1-1,3:30,-4.5,346,0.3,0,25,Å~
2019-1-1,3:40,-4.6,328,0.1,0,25,Å~
2019-1-1,3:50,-4.5,334,0.1,0,25,Å~
2019-1-1,4:00,-5.1,242,0.4,0,25,0
2019-1-1,4:10,-5.1,284,0.1,0,25,Å~
2019-1-1,4:20,-5,239,0.3,0,25,Å~
2019-1-1,4:30,-5,340,0.1,0,25,Å~
2019-1-1,4:40,-5,14,0.1,0,25,Å~
2019-1-1,4:50,-5.1,338,0.1,0,25,Å~
2019-1-1,5:00,-5,248,0.3,0,25,0
2019-1-1,5:10,-5.1,319,0.1,0,25,Å~
2019-1-1,5:20,-5,18,0.5,0,25,Å~
2019-1-1,5:30,-5.1,356,0.1,0,25,Å~
2019-1-1,5:40,-5,357,0.2,0,25,Å~
2019-1-1,5:50,-5,24,0.2,0,25,Å~
2019-1-1,6:00,-5,239,0.3,0,25,0
2019-1-1,6:10,-5.1,254,0.5,0,25,Å~
2019-1-1,6:20,-4.8,328,0.2,0,24,Å~
2019-1-1,6:30,-5.1,280,0.2,0,24,Å~
2019-1-1,6:40,-5.2,253,0.5,0,24,Å~
2019-1-1,6:50,-5.1,242,0.4,0,25,Å~
2019-1-1,7:00,-5.1,263,0.2,0,25,0
2019-1-1,7:10,-5,257,0.4,0,25,Å~
2019-1-1,7:20,-5,306,0.2,0,25,Å~
2019-1-1,7:30,-4.7,355,0.2,0,25,Å~
2019-1-1,7:40,-4.5,320,0.2,0,25,Å~
2019-1-1,7:50,-4.2,348,0.2,0,25,Å~
2019-1-1,8:00,-4.2,26,0.8,0,25,0
2019-1-1,8:10,-4.1,348,0.3,0,25,Å~
2019-1-1,8:20,-3.9,324,0.2,0,25,Å~
2019-1-1,8:30,-3.6,294,0.2,0,25,Å~
2019-1-1,8:40,-3.6,24,0.1,0,25,Å~
2019-1-1,8:50,-3.9,344,0.2,0,25,Å~
2019-1-1,9:00,-4,332,0.2,0,25,0
2019-1-1,9:10,-3.6,337,0.2,0,24,Å~
2019-1-1,9:20,-3,310,0.2,0,24,Å~
2019-1-1,9:30,-2.7,244,0.6,0,24,Å~
2019-1-1,9:40,-2.4,242,1.2,0,24,Å~
2019-1-1,9:50,-2.3,237,1.1,0,24,Å~
2019-1-1,10:00,-2.1,239,1.7,0,24,0
2019-1-1,10:10,-2,243,1.5,0,24,Å~
2019-1-1,10:20,-1.9,250,1.2,0,24,Å~
2019-1-1,10:30,-1.8,283,1.1,0,24,Å~
2019-1-1,10:40,-1.8,320,1.1,0,24,Å~
2019-1-1,10:50,-1.8,306,1,0,24,Å~
2019-1-1,11:00,-1.7,288,1,0,24,0
2019-1-1,11:10,-1.7,312,0.7,0,24,Å~
2019-1-1,11:20,-1.7,283,0.8,0,24,Å~
2019-1-1,11:30,-1.6,277,0.9,0,24,Å~
2019-1-1,11:40,-1.7,277,0.9,0,24,Å~
2019-1-1,11:50,-1.8,257,1.2,0,24,Å~
2019-1-1,12:00,-1.9,270,0.5,0,24,0
2019-1-1,12:10,-1.7,328,0.9,0,24,Å~
2019-1-1,12:20,-1.7,330,0.6,0,24,Å~
2019-1-1,12:30,-1.5,348,0.9,0,24,Å~
2019-1-1,12:40,-1.5,327,0.9,0,24,Å~
2019-1-1,12:50,-1.6,342,0.9,0,24,Å~
2019-1-1,13:00,-1.8,328,1,0,24,0
2019-1-1,13:10,-1.9,314,0.9,0,24,Å~
2019-1-1,13:20,-1.8,288,0.9,0,24,Å~
2019-1-1,13:30,-1.8,307,1,0,24,Å~
2019-1-1,13:40,-1.9,303,0.5,0,24,Å~
2019-1-1,13:50,-1.8,324,0.8,0,24,Å~
2019-1-1,14:00,-1.8,330,0.7,0,24,0
2019-1-1,14:10,-1.8,335,1,0,24,Å~
2019-1-1,14:20,-1.9,332,0.8,0,24,Å~
2019-1-1,14:30,-1.9,356,1.1,0,24,Å~
2019-1-1,14:40,-2,308,0.9,0,25,Å~
2019-1-1,14:50,-2,309,0.8,0,25,Å~
2019-1-1,15:00,-2.3,346,1.2,0,25,1
2019-1-1,15:10,-2.4,288,1,0,25,Å~
2019-1-1,15:20,-2.4,285,0.8,0,25,Å~
2019-1-1,15:30,-2.4,310,0.6,0,25,Å~
2019-1-1,15:40,-2.4,307,0.5,0,25,Å~
2019-1-1,15:50,-2.5,286,0.7,0,25,Å~
2019-1-1,16:00,-2.6,315,0.5,0,25,0
2019-1-1,16:10,-2.5,305,0.6,0,25,Å~
2019-1-1,16:20,-2.7,272,0.7,0,25,Å~
2019-1-1,16:30,-2.6,305,0.4,0,25,Å~
2019-1-1,16:40,-2.7,244,0.3,0,25,Å~
2019-1-1,16:50,-2.9,351,0.2,0,25,Å~
2019-1-1,17:00,-2.9,0,0.2,0,25,0
2019-1-1,17:10,-3.1,339,0.2,0,24,Å~
2019-1-1,17:20,-3,332,0.1,0,24,Å~
2019-1-1,17:30,-3,334,0.1,0,24,Å~
2019-1-1,17:40,-3,315,0.1,0,24,Å~
2019-1-1,17:50,-3.1,340,0.2,0,24,Å~
2019-1-1,18:00,-3,305,0.1,0,24,0
2019-1-1,18:10,-2.9,283,0.1,0,24,Å~
2019-1-1,18:20,-3,286,0.1,0,24,Å~
2019-1-1,18:30,-3.1,319,0.1,0,24,Å~
2019-1-1,18:40,-3,315,0.1,0,24,Å~
2019-1-1,18:50,-2.9,23,0.2,0,24,Å~
2019-1-1,19:00,-2.8,14,0.6,0,24,0
2019-1-1,19:10,-2.7,308,0.4,0,24,Å~
2019-1-1,19:20,-2.7,325,0.5,0,24,Å~
2019-1-1,19:30,-2.8,323,0.8,0,24,Å~
2019-1-1,19:40,-2.7,299,0.8,0,24,Å~
2019-1-1,19:50,-2.8,272,0.9,0,24,Å~
2019-1-1,20:00,-2.8,289,0.7,0,24,0
2019-1-1,20:10,-2.8,294,0.9,0,24,Å~
2019-1-1,20:20,-2.9,296,0.8,0,24,Å~
2019-1-1,20:30,-2.8,296,0.9,0,24,Å~
2019-1-1,20:40,-2.9,302,0.8,0,24,Å~
2019-1-1,20:50,-2.8,282,0.9,0,24,Å~
2019-1-1,21:00,-2.7,265,1.3,0,24,0
2019-1-1,21:10,-2.7,278,1,0,24,Å~
2019-1-1,21:20,-2.7,277,0.8,0,24,Å~
2019-1-1,21:30,-2.8,256,0.9,0,24,Å~
2019-1-1,21:40,-3,252,1.3,0,24,Å~
2019-1-1,21:50,-3.1,248,1.5,0,24,Å~
2019-1-1,22:00,-3.3,240,0.9,0,24,0
2019-1-1,22:10,-3.7,278,0.1,0,24,Å~
2019-1-1,22:20,-3.6,237,0.4,0,24,Å~
2019-1-1,22:30,-3.5,240,1,0,24,Å~
2019-1-1,22:40,-3.7,248,0.8,0,24,Å~
2019-1-1,22:50,-3.8,237,1.1,0,24,Å~
2019-1-1,23:00,-3.8,240,1.2,0,24,0
2019-1-1,23:10,-3.9,249,0.7,0,24,Å~
2019-1-1,23:20,-4,252,0.2,0,24,Å~
2019-1-1,23:30,-4,252,0.2,0,24,Å~
2019-1-1,23:40,-4.3,344,0.1,0,24,Å~
2019-1-1,23:50,-4.1,283,0.1,0,24,Å~
2019-1-2,0:00,-4.5,11,0.1,0,24,0
2019-1-2,0:10,-5,13,0.1,0,24,Å~
2019-1-2,0:20,-5.2,254,0.2,0,24,Å~
2019-1-2,0:30,-5.7,240,0.4,0,24,Å~
2019-1-2,0:40,-5.6,277,0.3,0,24,Å~
2019-1-2,0:50,-5.6,270,0.2,0,24,Å~
2019-1-2,1:00,-5.7,242,0.4,0,24,0
2019-1-2,1:10,-5.9,326,0.1,0,23,Å~
2019-1-2,1:20,-5.7,353,0.2,0,23,Å~
2019-1-2,1:30,-5.6,357,0.2,0,23,Å~
2019-1-2,1:40,-5.6,10,0.1,0,23,Å~
2019-1-2,1:50,-5.8,346,0.2,0,23,Å~
2019-1-2,2:00,-6.4,338,0.2,0,23,0
2019-1-2,2:10,-6.2,357,0.2,0,23,Å~
2019-1-2,2:20,-6.4,268,0.3,0,23,Å~
2019-1-2,2:30,-6.5,32,0.3,0,23,Å~
2019-1-2,2:40,-7.2,276,0.1,0,23,Å~
2019-1-2,2:50,-7.1,293,0.2,0,23,Å~
2019-1-2,3:00,-7.7,244,0.8,0,23,0
2019-1-2,3:10,-7.2,270,0.4,0,23,Å~
2019-1-2,3:20,-7.5,270,0.2,0,23,Å~
2019-1-2,3:30,-7.4,248,0.4,0,23,Å~
2019-1-2,3:40,-7.2,268,0.2,0,23,Å~
2019-1-2,3:50,-6.9,278,0.3,0,23,Å~
2019-1-2,4:00,-6.8,299,0.1,0,23,0
2019-1-2,4:10,-6.8,274,0.2,0,23,Å~
2019-1-2,4:20,-6.9,267,0.2,0,23,Å~
2019-1-2,4:30,-7,320,0.2,0,23,Å~
2019-1-2,4:40,-7.2,270,0.2,0,23,Å~
2019-1-2,4:50,-7.1,238,0.4,0,23,Å~
2019-1-2,5:00,-7.3,245,0.5,0,23,0
2019-1-2,5:10,-7.5,251,0.2,0,23,Å~
2019-1-2,5:20,-7.2,266,0.1,0,23,Å~
2019-1-2,5:30,-7.4,254,0.3,0,23,Å~
2019-1-2,5:40,-7.8,300,0.2,0,23,Å~
2019-1-2,5:50,-8,248,0.4,0,23,Å~
2019-1-2,6:00,-8.2,238,0.4,0,23,0
2019-1-2,6:10,-8.4,236,0.6,0,23,Å~
2019-1-2,6:20,-8.3,328,0.1,0,23,Å~
2019-1-2,6:30,-8.4,14,0.1,0,23,Å~
2019-1-2,6:40,-7.3,334,0.1,0,23,Å~
2019-1-2,6:50,-7.2,338,0.1,0,23,Å~
2019-1-2,7:00,-7.2,257,0.2,0,23,0
2019-1-2,7:10,-7.2,248,0.3,0,23,Å~
2019-1-2,7:20,-7.2,286,0.1,0,23,Å~
2019-1-2,7:30,-7,297,0.1,0,23,Å~
2019-1-2,7:40,-6.2,252,0.1,0,23,Å~
2019-1-2,7:50,-6.3,264,0.2,0,23,Å~
2019-1-2,8:00,-6,238,0.7,0,23,0
2019-1-2,8:10,-5.9,244,0.3,0,23,Å~
2019-1-2,8:20,-5.8,320,0.1,0,23,Å~
2019-1-2,8:30,-5.9,0,0.1,0,23,Å~
2019-1-2,8:40,-5.8,15,0.1,0,23,Å~
2019-1-2,8:50,-5.5,343,0.2,0,23,Å~
2019-1-2,9:00,-4.7,249,0.3,0,23,0
2019-1-2,9:10,-4.4,278,0.2,0,23,Å~
2019-1-2,9:20,-4,13,0.3,0,23,Å~
2019-1-2,9:30,-3.6,292,0.1,0,23,Å~
2019-1-2,9:40,-3.2,244,0.3,0,23,Å~
2019-1-2,9:50,-3,238,0.4,0,23,Å~
2019-1-2,10:00,-3,234,1.4,0,23,0
2019-1-2,10:10,-2.9,232,1.1,0,23,Å~
2019-1-2,10:20,-2.8,246,0.3,0,23,Å~
2019-1-2,10:30,-2.7,237,0.9,0,23,Å~
2019-1-2,10:40,-2.5,237,0.8,0,23,Å~
2019-1-2,10:50,-2.4,239,0.9,0,23,Å~
2019-1-2,11:00,-2.2,239,1,0,23,0
2019-1-2,11:10,-2,240,1.7,0,23,Å~
2019-1-2,11:20,-1.9,252,1,0,23,Å~
2019-1-2,11:30,-1.8,242,1,0,23,Å~
2019-1-2,11:40,-1.8,351,1.1,0,23,Å~
2019-1-2,11:50,-2.1,9,1.4,0,23,Å~
2019-1-2,12:00,-2.4,25,1.8,0,23,0
2019-1-2,12:10,-2.4,4,1.3,0,23,Å~
2019-1-2,12:20,-2.4,1,0.9,0,23,Å~
2019-1-2,12:30,-2.3,330,0.5,0,23,Å~
2019-1-2,12:40,-2.1,312,0.6,0,23,Å~
2019-1-2,12:50,-2.1,261,0.4,0,23,Å~
2019-1-2,13:00,-1.8,305,0.5,0,23,0
2019-1-2,13:10,-2.1,280,1.1,0,23,Å~
2019-1-2,13:20,-2,288,0.9,0,23,Å~
2019-1-2,13:30,-2,290,0.9,0,23,Å~
2019-1-2,13:40,-2,278,1.5,0,23,Å~
2019-1-2,13:50,-1.9,269,1.4,0,23,Å~
2019-1-2,14:00,-3.1,315,1.2,0,23,0
