日付,時刻,気温(℃),風向(度:0～359),風速(m/s),降水量(mm),積雪深(cm),前１時間降雪量(cm)
2019-01-01,00:10,-4.0,43,1.3,0.0,23,×
2019-01-01,00:20,-4.0,40,0.9,0.0,23,×
2019-01-01,00:30,-3.8,52,0.3,0.0,23,×
2019-01-01,00:40,-3.8,49,0.6,0.0,23,×
2019-01-01,00:50,-3.7,50,0.6,0.0,23,×
2019-01-01,01:00,-3.6,74,0.3,0.0,23,0
2019-01-01,01:10,-3.7,139,0.2,0.0,23,×
2019-01-01,01:20,-3.4,201,0.7,0.0,23,×
2019-01-01,01:30,-3.2,179,1.1,0.0,23,×
2019-01-01,01:40,-3.1,120,0.3,0.0,23,×
2019-01-01,01:50,-3.3,175,0.7,0.0,23,×
2019-01-01,02:00,-3.4,210,1.1,0.0,23,0
2019-01-01,02:10,-3.6,180,1.0,0.0,23,×
2019-01-01,02:20,-3.5,169,0.7,0.0,23,×
2019-01-01,02:30,-3.8,157,1.0,0.0,23,×
2019-01-01,02:40,-4.0,181,1.3,0.0,23,×
2019-01-01,02:50,-4.2,183,1.0,0.0,23,×
2019-01-01,03:00,-4.1,183,0.9,0.0,23,0
2019-01-01,03:10,-4.1,196,0.9,0.0,23,×
2019-01-01,03:20,-3.7,184,0.9,0.0,23,×
2019-01-01,03:30,-3.6,149,0.3,0.0,23,×
2019-01-01,03:40,-3.6,145,0.2,0.0,23,×
2019-01-01,03:50,-3.9,196,0.8,0.0,23,×
2019-01-01,04:00,-3.7,225,0.2,0.0,23,0
2019-01-01,04:10,-3.6,211,0.4,0.0,23,×
2019-01-01,04:20,-3.5,188,0.7,0.0,23,×
2019-01-01,04:30,-3.4,198,0.8,0.0,23,×
2019-01-01,04:40,-3.4,220,0.9,0.0,23,×
2019-01-01,04:50,-3.1,308,0.4,0.0,23,×
2019-01-01,05:00,-3.2,194,0.2,0.0,23,0
2019-01-01,05:10,-3.2,153,0.5,0.0,24,×
2019-01-01,05:20,-3.2,180,0.5,0.0,24,×
2019-01-01,05:30,-3.3,203,0.8,0.0,24,×
2019-01-01,05:40,-3.2,181,0.7,0.0,24,×
2019-01-01,05:50,-3.1,167,0.2,0.0,24,×
2019-01-01,06:00,-3.2,92,0.6,0.0,24,1
2019-01-01,06:10,-3.4,52,0.6,0.0,23,×
2019-01-01,06:20,-3.3,158,0.4,0.0,23,×
2019-01-01,06:30,-3.2,359,0.6,0.0,23,×
2019-01-01,06:40,-3.3,123,0.3,0.0,24,×
2019-01-01,06:50,-3.0,297,0.1,0.0,25,×
2019-01-01,07:00,-2.9,209,0.9,0.0,24,0
2019-01-01,07:10,-3.0,211,1.8,0.0,22,×
2019-01-01,07:20,-3.0,212,1.5,0.0,22,×
2019-01-01,07:30,-2.8,203,0.6,0.0,22,×
2019-01-01,07:40,-3.2,46,0.6,0.0,22,×
2019-01-01,07:50,-3.2,140,0.5,0.0,22,×
2019-01-01,08:00,-3.0,185,0.4,0.0,22,0
2019-01-01,08:10,-3.0,203,0.5,0.0,22,×
2019-01-01,08:20,-2.6,193,0.3,0.0,22,×
2019-01-01,08:30,-1.9,344,0.8,0.0,22,×
2019-01-01,08:40,-1.8,325,0.5,0.0,22,×
2019-01-01,08:50,-1.8,319,0.7,0.0,22,×
2019-01-01,09:00,-1.8,309,0.3,0.0,22,0
2019-01-01,09:10,-1.7,262,0.2,0.0,22,×
2019-01-01,09:20,-1.5,314,0.5,0.0,22,×
2019-01-01,09:30,-1.3,274,0.3,0.0,22,×
2019-01-01,09:40,-1.0,315,0.4,0.0,22,×
2019-01-01,09:50,-0.8,304,0.4,0.0,22,×
2019-01-01,10:00,-0.5,337,0.8,0.0,22,0
2019-01-01,10:10,-0.5,338,1.7,0.0,22,×
2019-01-01,10:20,-0.7,333,2.4,0.0,22,×
2019-01-01,10:30,-0.6,333,1.6,0.0,22,×
2019-01-01,10:40,-0.6,334,2.0,0.0,22,×
2019-01-01,10:50,-0.4,335,2.6,0.0,22,×
2019-01-01,11:00,-0.6,337,2.2,0.0,22,0
2019-01-01,11:10,-0.5,341,1.9,0.0,22,×
2019-01-01,11:20,-0.6,338,2.7,0.0,22,×
2019-01-01,11:30,-0.5,332,2.8,0.0,22,×
2019-01-01,11:40,-0.7,337,2.7,0.0,22,×
2019-01-01,11:50,-0.5,335,1.8,0.0,22,×
2019-01-01,12:00,-0.3,338,1.6,0.0,22,0
2019-01-01,12:10,-0.1,342,1.4,0.0,22,×
2019-01-01,12:20,-0.7,345,2.3,0.0,22,×
2019-01-01,12:30,-0.8,331,2.8,0.0,22,×
2019-01-01,12:40,-0.7,340,2.0,0.0,22,×
2019-01-01,12:50,-0.8,332,2.5,0.0,22,×
2019-01-01,13:00,-0.7,334,2.5,0.0,22,0
2019-01-01,13:10,-0.8,334,2.8,0.0,22,×
2019-01-01,13:20,-0.9,330,2.6,0.0,22,×
2019-01-01,13:30,-0.8,337,1.8,0.0,22,×
2019-01-01,13:40,-0.8,337,2.1,0.0,22,×
2019-01-01,13:50,-1.1,338,2.0,0.0,22,×
2019-01-01,14:00,-1.0,334,2.0,0.0,22,0
2019-01-01,14:10,-1.0,336,1.9,0.0,22,×
2019-01-01,14:20,-0.9,337,1.8,0.0,22,×
2019-01-01,14:30,-1.0,330,1.2,0.0,22,×
2019-01-01,14:40,-1.2,332,2.3,0.0,22,×
2019-01-01,14:50,-1.4,335,2.5,0.0,22,×
2019-01-01,15:00,-1.4,336,1.3,0.0,22,0
2019-01-01,15:10,-1.3,331,1.1,0.0,22,×
2019-01-01,15:20,-1.3,333,2.0,0.0,22,×
2019-01-01,15:30,-1.4,337,1.7,0.0,22,×
2019-01-01,15:40,-1.5,332,2.3,0.0,22,×
2019-01-01,15:50,-1.6,335,1.9,0.0,22,×
2019-01-01,16:00,-1.6,320,0.9,0.0,22,0
2019-01-01,16:10,-1.6,330,0.8,0.0,22,×
2019-01-01,16:20,-1.5,332,1.0,0.0,22,×
2019-01-01,16:30,-1.5,325,0.8,0.0,22,×
