ì˙ït,éûçè,ãCâ∑(Åé),ïóå¸(ìx:0Å`359),ïóë¨(m/s),ç~êÖó (mm),êœê·ê[(cm),ëOÇPéûä‘ç~ê·ó (cm)
2019-1-1,0:10,-2,324,0.6,0,36,Å~
2019-1-1,0:20,-1.8,316,1.4,0,36,Å~
2019-1-1,0:30,-1.7,306,1,0,36,Å~
2019-1-1,0:40,-1.7,274,0.4,0,36,Å~
2019-1-1,0:50,-2.1,228,0.5,0,36,Å~
2019-1-1,1:00,-2.2,117,0.4,0,36,0
2019-1-1,1:10,-2.1,103,0.2,0,36,Å~
2019-1-1,1:20,-2.7,146,0.6,0,36,Å~
2019-1-1,1:30,-2,197,0.6,0,36,Å~
2019-1-1,1:40,-2.2,168,0.2,0,36,Å~
2019-1-1,1:50,-2,22,0.6,0,36,Å~
2019-1-1,2:00,-1.8,58,0.7,0,36,0
2019-1-1,2:10,-1.8,341,0.3,0,36,Å~
2019-1-1,2:20,-2.6,188,0.4,0,36,Å~
2019-1-1,2:30,-2.9,135,0.2,0,36,Å~
2019-1-1,2:40,-2.6,85,0.3,0,36,Å~
2019-1-1,2:50,-2.5,141,0.5,0,36,Å~
2019-1-1,3:00,-2.4,123,0.5,0,36,0
2019-1-1,3:10,-2,149,0.3,0,36,Å~
2019-1-1,3:20,-1.8,131,0.2,0,36,Å~
2019-1-1,3:30,-1.9,110,0.3,0,37,Å~
2019-1-1,3:40,-2.3,140,0.4,0,37,Å~
2019-1-1,3:50,-2.5,129,1.4,0,37,Å~
2019-1-1,4:00,-2.6,143,1,0,36,0
2019-1-1,4:10,-2.8,117,1.3,0,36,Å~
2019-1-1,4:20,-2.8,127,1.6,0,36,Å~
2019-1-1,4:30,-2.7,125,2,0,36,Å~
2019-1-1,4:40,-2.7,120,1.6,0,36,Å~
2019-1-1,4:50,-2.6,105,0.7,0,36,Å~
2019-1-1,5:00,-2.6,124,2.1,0,36,0
2019-1-1,5:10,-2.7,123,1.5,0,36,Å~
2019-1-1,5:20,-2.6,128,0.8,0,36,Å~
2019-1-1,5:30,-2.7,90,0.2,0,36,Å~
2019-1-1,5:40,-2.2,83,0.2,0,36,Å~
